year,num
1969,1800103
1970,1868900
1971,1781774
1972,1749402
1973,1839736
1974,2029150
1975,2232406
1976,2463852
1977,2772206
1978,2865686
1979,3184421
1980,3310301
1981,3319054
1982,3376813
1983,3337883
1984,3360871
1985,3765064
1986,3760695
1987,3813216
1988,3913793
1989,4045693
1990,4162917
1991,4115342
1992,4069428
1993,4004523
1994,3956925
1995,3903012
1996,3894874
1997,3884329
1998,3945192
1999,3963465
2000,4063823
2001,4031531
2002,4027376
2003,4096092
2004,4118907
2005,4145619
2006,4273225
2007,4324008
2008,4255156
